District code,ABS code,LGA name,2017 (ABS),2021 (extrapolated),CAGR (13-17),mean,median,q90,q25,q75,amin,amax,len
050,10050,Albury,46426,50647.93392,0.02199816662,379030.2356927711,334750.0,625000.0,230000.0,460000.0,6000.0,2425000.0,1328
257,10130,Armidale Regional,41120,45251.1481,0.02422205662,404341.7279693487,358000.0,644500.0000000001,276000.0,461500.0,25000.0,4000000.0,522
148,10250,Ballina,40362,44608.1885,0.02532247528,796076.8876170656,685000.0,1255000.0,515000.0,910000.0,60000.0,6500000.0,961
230,10300,Balranald,45080,55865.14556,0.05508939253,223948.27586206896,190000.0,403000.0,155000.0,263000.0,53000.0,550000.0,29
608,10470,Bathurst Regional,48373,52850.30218,0.02237709967,477295.9366197183,450000.0,720000.0,332250.0,570000.0,100.0,2800000.0,994
276,10500,Bayside,48383,52260.72576,0.01946110453,954236.6605915744,798000.0,1465000.0,650000.0,1100000.0,100.0,26000000.0,3347
018,10550,Bega Valley,37366,40453.6697,0.02004734237,542911.4234338747,495000.0,844499.9999999999,354000.0,660000.0,5000.0,3900000.0,862
149,10600,Bellingen,36601,41853.07426,0.03409063059,615847.4945054945,580000.0,939000.0,450000.0,720000.0,85000.0,2000000.0,273
051,10650,Berrigan,38652,43418.20756,0.02949674991,274938.9430051813,250000.0,458200.0000000001,160000.0,355000.0,16000.0,1265000.0,193
214,10750,Blacktown,51422,55892.58035,0.02106008442,718694.9924350557,680000.0,990000.0,550324.5,829997.5,7200.0,13310000.0,7006
231,10800,Bland,40743,46438.53995,0.03325231794,228188.5964912281,214500.0,373700.00000000006,141000.0,290000.0,8500.0,1550000.0,114
118,10850,Blayney,45846,51226.04168,0.02812835566,404073.14814814815,342500.0,713000.0000000003,260000.0,480000.0,100.0,2050000.0,162
216,10900,Blue Mountains,48325,51988.10385,0.01843432631,725836.998046875,670500.0,1044000.0,560000.0,820000.0,3300.0,6500000.0,1536
232,10950,Bogan,46446,55656.11238,0.04626365081,158450.0,120000.0,263500.0000000001,58750.0,187500.0,1000.0,900000.0,40
239,11150,Bourke,51680,63780.83343,0.05400318015,95110.19354838708,66000.0,200000.0,27541.0,140000.0,1000.0,300000.0,31
233,11200,Brewarrina,46261,53337.98871,0.03622819434,118437.5,150000.0,199500.0,37000.0,174375.0,7000.0,210000.0,8
234,11250,Broken Hill,49696,55397.86941,0.02752620624,148815.66757493187,125000.0,275800.00000000006,70000.0,190000.0,5000.0,690000.0,367
137,11300,Burwood,40811,43006.03494,0.01318334407,1181548.494117647,930000.0,1717600.0000000002,730000.0,1120000.0,104500.0,23000000.0,765
150,11350,Byron,33747,38184.74464,0.03136806473,1261902.6268343816,960000.0,2150000.0,730000.0,1413750.0,4500.0,22000000.0,954
109,11400,Cabonne,44409,50794.80969,0.03415845246,484046.52582159627,372000.0,928000.0,233000.0,590000.0,2410.0,2360000.0,213
217,11450,Camden,56641,62409.11335,0.02454084062,781328.9540687161,705000.0,974199.9999999998,610000.0,815000.0,20500.0,12440000.0,2765
218,11500,Campbelltown,49354,53330.50129,0.0195612646,601270.3947157726,595000.0,780000.0,475000.0,685000.0,25000.0,3975000.0,2498
139,11520,Canada Bay,56951,60384.19751,0.0147416497,1473563.1745406825,1177500.0,2500000.0,830000.0,1850000.0,13000.0,12100000.0,1524
258,11570,Canterbury-Bankstown,42882,45782.79407,0.01649867131,905338.4193974048,800000.0,1306400.0,592000.0,1010000.0,3600.0,10064000.0,4547
052,11600,Carrathool,43433,48844.5532,0.02979096775,319456.3611111111,177500.0,612500.0,87500.0,266250.0,25000.0,2950000.0,36
259,11650,Central Coast,45608,50203.69425,0.02429171988,765838.8984354628,645500.0,1225000.0,500000.0,840000.0,3350.0,26000000.0,7670
235,11700,Central Darling,49076,60556.51654,0.05395709499,70463.75,39250.0,133000.0,19500.0,75750.0,225.0,565260.0,28
001,11720,Cessnock,46632,50123.16578,0.01821294173,459014.2506426735,380000.0,740000.0,290000.0,505000.0,300.0,6900000.0,1556
260,16260,Parramatta,49615,53657.56752,0.01977531774,1037620.314246292,793250.0,1450000.0,625000.0,1035750.0,200.0,26000000.0,5798
708,17200,Sydney,50289,51149.47558,0.004250476358,1394702.3854989232,1020000.0,2295000.0,732630.0,1486250.0,500.0,33000000.0,5572
303,11730,Clarence Valley,37474,43460.65474,0.03774715893,467116.97389885806,415000.0,705000.0,310000.0,545000.0,10000.0,2850000.0,1226
236,11750,Cobar,58090,63613.62025,0.02296831881,176494.05940594058,115000.0,360000.0,80000.0,228000.0,10000.0,1300000.0,101
152,11800,Coffs Harbour,40281,44676.44036,0.0262297011,585049.3462783172,540000.0,867400.0000000006,410000.0,689000.0,10000.0,5850000.0,1545
054,12000,Coolamon,43918,49091.13576,0.02822966983,250914.898989899,222000.0,536400.0,100000.0,351000.0,10000.0,720000.0,99
238,12150,Coonamble,47159,60006.78002,0.06208416519,196934.04255319148,110000.0,335999.9999999999,54000.0,170000.0,18000.0,2500000.0,47
265,12160,Cootamundra-Gundagai Regional,42258,46874.69981,0.02625997215,307506.17898832686,267000.0,482000.0,190000.0,340000.0,78000.0,3290000.0,257
042,12350,Cowra,39187,44620.68775,0.0329958119,314329.6185185185,270000.0,495500.0,195000.0,376250.0,18000.0,2565420.0,270
261,12380,Cumberland,41083,42343.52456,0.007583887059,748389.7708698922,625000.0,1015000.0,575000.0,800000.0,100.0,14800000.0,3989
275,12390,Dubbo Regional,47136,52306.01257,0.02636000968,388811.9675090253,355000.0,620000.0,271500.0,471250.0,5676.0,2300000.0,1108
002,12700,Dungog,41466,46249.80918,0.02767182631,590615.5520361991,470000.0,1030000.0,350000.0,760000.0,15000.0,2750000.0,221
262,12730,Edward River,40718,44126.24821,0.02029942378,274418.03004291846,222000.0,454000.00000000006,160000.0,324000.0,8500.0,1935600.0,233
097,12750,Eurobodalla,36062,39681.07418,0.02419677211,639722.9009083402,525000.0,892500.0,400000.0,670000.0,30000.0,24000000.0,1211
220,12850,Fairfield,42673,45602.14687,0.01673559556,776662.0604425257,727000.0,1058999.9999999998,542000.0,855000.0,5350.0,25333334.0,1853
263,12870,Federation,41225,45139.45883,0.02293707882,314812.5356125356,280000.0,500000.0,205000.0,372500.0,6000.0,1730000.0,351
117,12900,Forbes,43375,49514.18862,0.03364770506,334372.44897959183,306500.0,550000.0,225000.0,418500.0,35000.0,1237500.0,196
264,12930,Georges River,45913,48375.33434,0.01314610039,1245194.2764003673,890250.0,1851300.0,654374.5,1330000.0,2260.0,13950000.0,2178
240,12950,Gilgandra,42195,52584.85513,0.0565740078,205379.3103448276,160000.0,384500.00000000006,115000.0,217500.0,12500.0,1310000.0,58
302,13010,Glen Innes Severn,35166,41732.10799,0.04372680625,241096.15384615384,212500.0,389500.0,160000.0,283375.0,5000.0,1610000.0,182
529,13310,Goulburn Mulwaree,46891,51810.03042,0.02525309304,509127.5754339119,450000.0,815000.0,350000.0,608000.0,12200.0,1800000.0,749
560,13340,Greater Hume Shire,42871,48510.64062,0.03137915325,309932.43137254904,241000.0,647600.0000000001,173250.0,361250.0,5000.0,2378504.0,204
074,13450,Griffith,45427,51436.00022,0.03154524896,392141.8068783069,368750.0,586300.0,290000.0,460000.0,10000.0,1560000.0,378
187,13550,Gunnedah,47432,57775.92768,0.0505551898,376561.2648221344,327000.0,600000.0,240000.0,450000.0,19000.0,3850000.0,253
